parcel,alff,falff
0,37.8449721555007,1.611360522076148
1,40.72293596662329,1.6460642270135017
2,39.209511947127595,1.6298398889599695
3,32.44364916188034,1.4192001713442648
4,38.792563120525,1.7344182214697041
5,39.10909922146132,1.655607072259953
6,41.4961950196557,1.7380492782817567
7,43.27895213852084,1.7798696166562151
8,42.70448487641825,1.8041802682723247
9,43.63140828177981,1.7837112936619115
10,42.077225907814274,1.8405253920620204
11,45.2195787424018,1.7860107363627058
12,39.753022072605056,1.631865707041831
13,43.01451426395472,1.740043595364189
14,42.93027127754436,1.8114408691813486
15,42.819420011262736,1.7276913794442397
16,36.70123611337735,1.5179446313714349
17,41.89956015684875,1.6793460665640454
18,40.91123070059081,1.7284782902803497
19,39.50690265306376,1.640425936096016
